[2026-05-21 11:25:01] SENSOR #1 OFFLINE — No data for 42.7 hours
[2026-05-21 11:26:01] SENSOR #1 OFFLINE — No data for 42.7 hours
[2026-05-21 11:27:01] SENSOR #1 OFFLINE — No data for 42.7 hours
[2026-05-21 11:28:01] SENSOR #1 OFFLINE — No data for 42.7 hours
[2026-05-21 11:29:01] SENSOR #1 OFFLINE — No data for 42.8 hours
[2026-05-21 11:30:01] SENSOR #1 OFFLINE — No data for 42.8 hours
[2026-05-21 11:31:02] SENSOR #1 OFFLINE — No data for 42.8 hours
[2026-05-21 11:32:01] SENSOR #1 OFFLINE — No data for 42.8 hours
[2026-05-21 11:33:01] SENSOR #1 OFFLINE — No data for 42.8 hours
[2026-05-21 11:34:01] SENSOR #1 OFFLINE — No data for 42.8 hours
[2026-05-21 11:35:01] SENSOR #1 OFFLINE — No data for 42.9 hours
[2026-05-21 11:36:01] SENSOR #1 OFFLINE — No data for 42.9 hours
[2026-05-21 11:37:01] SENSOR #1 OFFLINE — No data for 42.9 hours
[2026-05-21 11:38:01] SENSOR #1 OFFLINE — No data for 42.9 hours
[2026-05-21 11:39:01] SENSOR #1 OFFLINE — No data for 42.9 hours
[2026-05-21 11:40:01] SENSOR #1 OFFLINE — No data for 42.9 hours
[2026-05-21 11:41:01] SENSOR #1 OFFLINE — No data for 43.0 hours
[2026-05-21 11:42:01] SENSOR #1 OFFLINE — No data for 43.0 hours
[2026-05-21 11:43:01] SENSOR #1 OFFLINE — No data for 43.0 hours
[2026-05-21 11:44:01] SENSOR #1 OFFLINE — No data for 43.0 hours
[2026-05-21 11:45:01] SENSOR #1 OFFLINE — No data for 43.0 hours
[2026-05-21 11:46:01] SENSOR #1 OFFLINE — No data for 43.0 hours
[2026-05-21 11:47:01] SENSOR #1 OFFLINE — No data for 43.1 hours
[2026-05-21 11:48:01] SENSOR #1 OFFLINE — No data for 43.1 hours
[2026-05-21 11:49:02] SENSOR #1 OFFLINE — No data for 43.1 hours
[2026-05-21 11:50:01] SENSOR #1 OFFLINE — No data for 43.1 hours
[2026-05-21 13:01:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:02:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:03:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:03:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:04:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:04:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:05:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:05:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:06:02] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:06:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:07:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:07:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:08:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:10:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:11:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:12:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:13:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:14:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:15:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:16:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:17:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:18:01] SENSOR #1 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 13:19:01] SENSOR #1 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 13:20:01] SENSOR #1 OVERSTAY — Occupied for 0.2 hours
